run,passed,ssd_to_slm_ms,encrypt_program_setup_ms,encrypt_fpga_execute_ms,encrypt_slm_to_host_ms,encrypt_unpack_verify_ms,encrypt_csd_cleanup_ms,tcp_connect_ms,request_send_ms,wait_response_header_ms,response_receive_ms,rpc_round_trip_ms,remote_request_receive_ms,remote_validate_ms,remote_decode_ms,remote_hpu_prepare_ms,remote_hpu_enqueue_ms,remote_hpu_wait_sync_ms,remote_hpu_output_convert_ms,remote_result_encode_ms,remote_mem_sanitizer_ms,remote_process_ms,remote_response_send_ms,remote_server_total_ms,decrypt_slm_create_ms,decrypt_slm_zero_ms,decrypt_host_to_slm_ms,decrypt_slm_write_verify_ms,decrypt_program_setup_ms,decrypt_fpga_execute_ms,decrypt_slm_to_ssd_ms,decrypt_ssd_readback_ms,decrypt_cleanup_ms,online_e2e_ms,one_shot_e2e_ms,process_ms
run_01,yes,10.429,20.913,30.855,1095.159,39.36,32.291,0.985,90.654,564.13,566.687,1221.507,123.82,0.004,9.108,22.011,0.187,468.295,24.427,5.199,0.976,530.325,566.32,1220.491,14.909,3.089,895.579,0.0,20.501,20.254,8.151,8.917,21.119,3455.564,3474.726,3490.474
run_02,yes,5.06,25.083,30.767,1075.994,34.675,21.266,1.097,96.588,546.93,561.729,1205.283,122.63,0.002,2.946,18.87,0.173,471.006,24.524,1.889,0.814,520.345,561.726,1204.722,16.342,4.17,918.836,0.0,20.722,22.828,15.889,13.334,22.969,3443.068,3458.509,3467.055
run_03,yes,14.989,24.501,31.031,955.486,32.302,28.165,0.962,96.847,549.328,567.539,1213.758,123.418,0.002,2.819,22.908,0.176,468.801,24.744,1.732,0.824,522.13,567.593,1213.161,14.603,3.573,470.132,0.0,19.408,24.787,7.946,5.444,22.839,2881.255,2896.817,2905.054
run_04,yes,3.934,19.364,27.77,569.93,36.921,21.575,4.04,88.023,550.482,566.143,1204.704,116.92,0.003,2.955,23.537,0.186,466.635,24.92,1.845,0.854,521.058,566.208,1204.207,14.365,3.364,475.168,0.0,19.434,25.038,7.692,5.074,23.399,2470.976,2485.651,2494.418
run_05,yes,3.895,22.118,27.93,570.559,31.57,22.584,0.941,93.866,543.827,550.168,1187.881,116.638,0.003,2.879,23.403,0.183,466.546,24.559,1.867,0.832,520.403,550.22,1187.285,15.443,3.264,475.115,0.0,19.305,25.285,6.536,5.026,22.642,2449.225,2468.592,2476.744
run_06,yes,4.071,19.27,27.88,1717.273,32.017,21.971,0.879,100.388,541.012,563.686,1205.108,122.461,0.004,3.04,23.191,0.177,464.509,24.659,1.787,0.832,518.325,563.723,1204.529,18.801,2.974,670.067,0.0,18.988,19.107,8.044,6.125,21.112,3801.745,3817.365,3826.236
run_07,yes,5.032,22.863,28.26,773.033,32.542,21.853,0.894,94.373,545.502,557.054,1196.951,116.133,0.004,2.917,26.257,0.217,462.298,28.029,2.401,0.827,523.097,557.116,1196.373,15.453,3.96,671.262,0.0,20.036,19.371,7.27,5.719,25.414,2857.935,2873.371,2881.8
run_08,yes,4.547,22.535,28.762,810.488,37.804,21.504,1.025,94.504,542.1,566.484,1203.125,115.774,0.002,2.864,23.528,0.179,465.865,24.977,1.857,0.819,520.218,566.521,1202.533,15.509,3.27,860.265,0.0,19.771,19.369,8.854,2.674,20.938,3091.882,3107.342,3119.97
run_09,yes,5.372,22.768,28.738,769.335,32.405,23.098,1.162,98.772,545.656,565.797,1210.261,122.88,0.004,2.947,23.93,0.186,465.304,25.389,2.261,0.823,520.971,565.905,1209.786,14.631,3.178,663.569,0.0,21.029,19.637,8.051,4.828,23.857,2860.43,2875.845,2883.762
run_10,yes,5.187,30.646,29.174,771.545,32.522,22.23,0.861,100.634,544.017,549.301,1193.975,122.16,0.003,2.97,23.543,0.174,467.407,24.987,1.871,0.82,521.9,549.394,1193.477,15.548,3.158,841.085,0.0,21.228,18.163,6.486,6.103,22.696,3028.659,3044.244,3052.686
