backend,mode,batch_size,iteration,output_layout,physical_output_bytes_per_u8,encrypt_ms,native_pack_ms,encrypt_and_pack_ms,per_u8_encrypt_us,per_u8_encrypt_and_pack_us,plaintext_bytes_per_s,native_ciphertext_bytes_per_s
cpu,serial,1,0,hpu-native-psi64-v80,98304,1.200214000,0.081658000,1.282208000,1200.214000,1282.208000,779.905,76667748.134
cpu,serial,1,1,hpu-native-psi64-v80,98304,1.200776000,0.081581000,1.282575000,1200.776000,1282.575000,779.682,76645810.187
cpu,serial,1,2,hpu-native-psi64-v80,98304,1.200266000,0.081593000,1.282092000,1200.266000,1282.092000,779.975,76674684.812
cpu,serial,1,3,hpu-native-psi64-v80,98304,1.199904000,0.081778000,1.281898000,1199.904000,1281.898000,780.093,76686288.613
cpu,serial,1,4,hpu-native-psi64-v80,98304,1.200451000,0.081652000,1.282317000,1200.451000,1282.317000,779.838,76661231.193
cpu,serial,1,5,hpu-native-psi64-v80,98304,0.775831000,0.038102000,0.814045000,775.831000,814.045000,1228.433,120759908.850
cpu,serial,1,6,hpu-native-psi64-v80,98304,0.560588000,0.038103000,0.598799000,560.588000,598.799000,1670.009,164168610.836
cpu,serial,1,7,hpu-native-psi64-v80,98304,0.560119000,0.038092000,0.598326000,560.119000,598.326000,1671.330,164298392.515
cpu,serial,1,8,hpu-native-psi64-v80,98304,0.560238000,0.038101000,0.598441000,560.238000,598.441000,1671.009,164266819.954
cpu,serial,1,9,hpu-native-psi64-v80,98304,0.560529000,0.038088000,0.598719000,560.529000,598.719000,1670.233,164190546.817
cpu,serial,1,10,hpu-native-psi64-v80,98304,0.560183000,0.038134000,0.598432000,560.183000,598.432000,1671.034,164269290.412
cpu,serial,1,11,hpu-native-psi64-v80,98304,0.566068000,0.038104000,0.604274000,566.068000,604.274000,1654.878,162681167.815
cpu,serial,1,12,hpu-native-psi64-v80,98304,0.560178000,0.038091000,0.598373000,560.178000,598.373000,1671.198,164285487.480
cpu,serial,1,13,hpu-native-psi64-v80,98304,0.560531000,0.038120000,0.598756000,560.531000,598.756000,1670.129,164180400.697
cpu,serial,1,14,hpu-native-psi64-v80,98304,0.560315000,0.038067000,0.598488000,560.315000,598.488000,1670.877,164253919.878
cpu,serial,1,15,hpu-native-psi64-v80,98304,0.560102000,0.038110000,0.598312000,560.102000,598.312000,1671.369,164302236.960
cpu,serial,1,16,hpu-native-psi64-v80,98304,0.560068000,0.038142000,0.598325000,560.068000,598.325000,1671.332,164298667.112
cpu,serial,1,17,hpu-native-psi64-v80,98304,0.560257000,0.038116000,0.598472000,560.257000,598.472000,1670.922,164258311.166
cpu,serial,1,18,hpu-native-psi64-v80,98304,0.562101000,0.038145000,0.600347000,562.101000,600.347000,1665.703,163745300.634
cpu,serial,1,19,hpu-native-psi64-v80,98304,0.560096000,0.038112000,0.598323000,560.096000,598.323000,1671.338,164299216.310
cpu,serial,1,20,hpu-native-psi64-v80,98304,0.560228000,0.038099000,0.598431000,560.228000,598.431000,1671.036,164269564.912
cpu,serial,1,21,hpu-native-psi64-v80,98304,0.560040000,0.038101000,0.598247000,560.040000,598.247000,1671.550,164320088.525
