backend,mode,batch_size,iteration,elapsed_ms,per_u8_us,plaintext_bytes_per_s,logical_ciphertext_bytes_per_s
cpu,serial,1,0,0.459913000,459.913000,2174.324,142566094.022
cpu,serial,1,1,0.459877000,459.877000,2174.494,142577254.353
cpu,serial,1,2,0.464535000,464.535000,2152.690,141147599.212
cpu,serial,1,3,0.459871000,459.871000,2174.523,142579114.578
cpu,serial,1,4,0.459833000,459.833000,2174.703,142590897.130
cpu,serial,1,5,0.459905000,459.905000,2174.362,142568573.945
cpu,serial,1,6,0.459812000,459.812000,2174.802,142597409.376
cpu,serial,1,7,0.459801000,459.801000,2174.854,142600820.790
cpu,serial,1,8,0.459819000,459.819000,2174.769,142595238.561
cpu,serial,1,9,0.459819000,459.819000,2174.769,142595238.561
cpu,serial,1,10,0.462904000,462.904000,2160.275,141644919.897
cpu,serial,1,11,0.459816000,459.816000,2174.783,142596168.902
cpu,serial,1,12,0.459773000,459.773000,2174.986,142609505.125
cpu,serial,1,13,0.459804000,459.804000,2174.840,142599890.388
cpu,serial,1,14,0.459790000,459.790000,2174.906,142604232.367
cpu,serial,1,15,0.459789000,459.789000,2174.911,142604542.518
cpu,serial,1,16,0.459870000,459.870000,2174.528,142579424.620
cpu,serial,1,17,0.459799000,459.799000,2174.863,142601441.064
cpu,serial,1,18,0.459777000,459.777000,2174.967,142608264.441
cpu,serial,1,19,0.472061000,472.061000,2118.370,138897303.526
cpu,serial,1,20,0.463891000,463.891000,2155.679,141343548.377
cpu,serial,1,21,0.459687000,459.687000,2175.393,142636185.056
cpu,serial,1,22,0.459657000,459.657000,2175.535,142645494.358
cpu,serial,1,23,0.459651000,459.651000,2175.564,142647356.364
cpu,serial,1,24,0.459648000,459.648000,2175.578,142648287.385
cpu,serial,1,25,0.459658000,459.658000,2175.531,142645184.028
cpu,serial,1,26,0.459714000,459.714000,2175.265,142627807.724
cpu,serial,1,27,0.459645000,459.645000,2175.592,142649218.419
cpu,serial,1,28,0.464044000,464.044000,2154.968,141296945.979
cpu,serial,1,29,0.459631000,459.631000,2175.658,142653563.402
cpu,serial,2,0,0.918933000,459.466500,2176.437,142704636.791
cpu,serial,2,1,0.918948000,459.474000,2176.402,142702307.421
cpu,serial,2,2,0.928634000,464.317000,2153.701,141213868.973
cpu,serial,2,3,0.918947000,459.473500,2176.404,142702462.710
cpu,serial,2,4,0.918988000,459.494000,2176.307,142696096.141
cpu,serial,2,5,0.918929000,459.464500,2176.447,142705257.969
cpu,serial,2,6,0.918929000,459.464500,2176.447,142705257.969
cpu,serial,2,7,0.921728000,460.864000,2169.838,142271906.680
cpu,serial,2,8,0.918952000,459.476000,2176.392,142701686.269
cpu,serial,2,9,0.918985000,459.492500,2176.314,142696561.968
cpu,serial,2,10,0.918921000,459.460500,2176.466,142706500.341
cpu,serial,2,11,0.921474000,460.737000,2170.436,142311123.266
cpu,serial,2,12,0.918927000,459.463500,2176.451,142705568.560
cpu,serial,2,13,0.918910000,459.455000,2176.492,142708208.638
cpu,serial,2,14,0.918952000,459.476000,2176.392,142701686.269
cpu,serial,2,15,0.924775000,462.387500,2162.688,141803141.305
cpu,serial,2,16,0.918920000,459.460000,2176.468,142706655.639
cpu,serial,2,17,0.918909000,459.454500,2176.494,142708363.940
cpu,serial,2,18,0.918941000,459.470500,2176.418,142703394.451
cpu,serial,2,19,0.918924000,459.462000,2176.459,142706034.449
cpu,serial,2,20,0.921146000,460.573000,2171.208,142361797.153
cpu,serial,2,21,0.918911000,459.455500,2176.489,142708053.337
cpu,serial,2,22,0.918886000,459.443000,2176.549,142711935.975
cpu,serial,2,23,0.918893000,459.446500,2176.532,142710848.815
cpu,serial,2,24,0.938064000,469.032000,2132.051,139794299.749
cpu,serial,2,25,0.918987000,459.493500,2176.309,142696251.416
cpu,serial,2,26,0.918931000,459.465500,2176.442,142704947.379
cpu,serial,2,27,0.918949000,459.474500,2176.399,142702152.132
cpu,serial,2,28,0.933899000,466.949500,2141.559,140417753.954
cpu,serial,2,29,0.919055000,459.527500,2176.148,142685693.457
cpu,serial,4,0,1.876388000,469.097000,2131.755,139774929.279
cpu,serial,4,1,1.870391000,467.597750,2138.590,140223087.044
cpu,serial,4,2,1.874058000,468.514500,2134.406,139948710.232
cpu,serial,4,3,1.869413000,467.353250,2139.709,140296445.997
cpu,serial,4,4,1.869696000,467.424000,2139.385,140275210.516
cpu,serial,4,5,1.871823000,467.955750,2136.954,140115812.232
cpu,serial,4,6,1.870269000,467.567250,2138.730,140232233.973
cpu,serial,4,7,1.878140000,469.535000,2129.767,139644541.940
cpu,serial,4,8,1.869597000,467.399250,2139.499,140282638.451
cpu,serial,4,9,1.874501000,468.625250,2133.901,139915636.215
cpu,serial,4,10,1.869755000,467.438750,2139.318,140270784.140
cpu,serial,4,11,1.872787000,468.196750,2135.854,140043688.898
cpu,serial,4,12,1.869514000,467.378500,2139.593,140288866.518
cpu,serial,4,13,1.876753000,469.188250,2131.341,139747745.175
cpu,serial,4,14,1.870045000,467.511250,2138.986,140249031.440
cpu,serial,4,15,1.873871000,468.467750,2134.619,139962676.193
cpu,serial,4,16,1.870015000,467.503750,2139.020,140251281.407
cpu,serial,4,17,1.872604000,468.151000,2136.063,140057374.650
cpu,serial,4,18,1.869406000,467.351500,2139.717,140296971.337
cpu,serial,4,19,1.877306000,469.326500,2130.713,139706579.535
cpu,serial,4,20,1.869515000,467.378750,2139.592,140288791.478
cpu,serial,4,21,1.869533000,467.383250,2139.572,140287440.767
cpu,serial,4,22,1.871911000,467.977750,2136.854,140109225.278
cpu,serial,4,23,1.869453000,467.363250,2139.663,140293444.125
cpu,serial,4,24,1.874441000,468.610250,2133.970,139920114.850
cpu,serial,4,25,1.869313000,467.328250,2139.824,140303951.238
cpu,serial,4,26,1.876279000,469.069750,2131.879,139783049.323
cpu,serial,4,27,1.870014000,467.503500,2139.021,140251356.407
