backend,batch_size,input_lbas,iteration,fpga_execute_ms,data_path_ms,one_shot_pipeline_ms,process_ms,per_u8_kernel_us,per_u8_data_path_us,kernel_plaintext_bytes_per_s,data_path_plaintext_bytes_per_s
fpga,1,256,0,12.175000,388.882000,468.224000,522.053000,12175.000000,388882.000000,82.136,2.571
fpga,1,256,1,10.941000,391.629000,469.699000,519.322000,10941.000000,391629.000000,91.399,2.553
fpga,1,256,2,9.840000,389.136000,463.726000,510.127000,9840.000000,389136.000000,101.626,2.570
fpga,1,256,3,17.724000,408.661000,496.385000,553.328000,17724.000000,408661.000000,56.421,2.447
fpga,1,256,4,15.208000,364.199000,437.486000,483.626000,15208.000000,364199.000000,65.755,2.746
fpga,1,256,5,15.318000,368.305000,449.943000,511.907000,15318.000000,368305.000000,65.283,2.715
fpga,1,256,6,16.475000,367.558000,451.435000,497.324000,16475.000000,367558.000000,60.698,2.721
fpga,1,256,7,14.313000,326.346000,406.773000,454.711000,14313.000000,326346.000000,69.867,3.064
fpga,1,256,8,14.065000,360.946000,431.731000,480.848000,14065.000000,360946.000000,71.098,2.770
fpga,1,256,9,14.085000,347.665000,415.350000,466.465000,14085.000000,347665.000000,70.998,2.876
fpga,2,256,0,19.982000,739.875000,824.311000,870.464000,9991.000000,369937.500000,100.090,2.703
fpga,2,256,1,21.774000,740.458000,826.518000,883.448000,10887.000000,370229.000000,91.853,2.701
fpga,2,256,2,19.956000,664.314000,746.506000,793.425000,9978.000000,332157.000000,100.220,3.011
fpga,2,256,3,23.626000,714.666000,790.227000,845.354000,11813.000000,357333.000000,84.653,2.799
fpga,2,256,4,26.302000,675.862000,750.425000,801.868000,13151.000000,337931.000000,76.040,2.959
fpga,2,256,5,20.096000,688.616000,758.777000,814.556000,10048.000000,344308.000000,99.522,2.904
fpga,2,256,6,19.875000,712.336000,799.542000,846.575000,9937.500000,356168.000000,100.629,2.808
fpga,2,256,7,25.061000,713.993000,797.294000,842.988000,12530.500000,356996.500000,79.805,2.801
fpga,2,256,8,21.147000,707.883000,793.853000,849.059000,10573.500000,353941.500000,94.576,2.825
fpga,2,256,9,19.151000,576.825000,650.888000,693.851000,9575.500000,288412.500000,104.433,3.467
fpga,4,256,0,22.473000,1105.328000,1183.658000,1230.952000,5618.250000,276332.000000,177.991,3.619
fpga,4,256,1,14.122000,1165.469000,1243.987000,1285.842000,3530.500000,291367.250000,283.246,3.432
fpga,4,256,2,28.091000,1269.589000,1352.462000,1407.717000,7022.750000,317397.250000,142.394,3.151
fpga,4,256,3,28.468000,1135.174000,1208.616000,1262.922000,7117.000000,283793.500000,140.509,3.524
fpga,4,256,4,14.232000,1102.301000,1178.064000,1223.594000,3558.000000,275575.250000,281.057,3.629
fpga,4,256,5,13.323000,2888.036000,2957.793000,3008.175000,3330.750000,722009.000000,300.233,1.385
fpga,4,256,6,20.138000,1330.692000,1414.668000,1463.121000,5034.500000,332673.000000,198.629,3.006
fpga,4,256,7,20.206000,1425.004000,1504.973000,1556.225000,5051.500000,356251.000000,197.961,2.807
fpga,4,256,8,30.489000,1293.058000,1367.014000,1419.789000,7622.250000,323264.500000,131.195,3.093
fpga,4,256,9,30.361000,1339.661000,1412.540000,1461.968000,7590.250000,334915.250000,131.748,2.986
fpga,8,256,0,72.020000,2218.113000,2302.106000,2352.432000,9002.500000,277264.125000,111.080,3.607
fpga,8,256,1,72.948000,2220.741000,2298.828000,2360.927000,9118.500000,277592.625000,109.667,3.602
fpga,8,256,2,49.184000,2183.512000,2257.569000,2300.246000,6148.000000,272939.000000,162.655,3.664
fpga,8,256,3,47.315000,2025.476000,2112.402000,2169.554000,5914.375000,253184.500000,169.080,3.950
fpga,8,256,4,46.232000,2179.968000,2261.325000,2315.181000,5779.000000,272496.000000,173.040,3.670
fpga,8,256,5,73.869000,2264.110000,2343.593000,2392.206000,9233.625000,283013.750000,108.300,3.533
fpga,8,256,6,75.098000,2148.412000,2233.612000,2293.778000,9387.250000,268551.500000,106.527,3.724
fpga,8,256,7,1971.353000,4184.395000,4263.938000,4325.606000,246419.125000,523049.375000,4.058,1.912
fpga,8,256,8,67.242000,2246.926000,2321.131000,2366.375000,8405.250000,280865.750000,118.973,3.560
fpga,8,256,9,76.993000,2219.121000,2297.465000,2354.874000,9624.125000,277390.125000,103.906,3.605
