backend,batch_size,input_lbas,slm_read_chunk_bytes,slm_read_queue_depth,iteration,output_layout,physical_output_bytes_per_u8,slm_create_ms,ssd_to_slm_ms,program_setup_ms,fpga_execute_ms,slm_to_host_ms,host_verify_ms,dump_write_ms,cleanup_ms,transport_ready_ms,data_path_ms,one_shot_transport_ready_ms,one_shot_pipeline_ms,process_ms,per_u8_kernel_us,per_u8_data_path_us,kernel_plaintext_bytes_per_s,data_path_plaintext_bytes_per_s
fpga,1,1,131072,1,0,hpu-native-psi64-v80,98304,12.633000,21.043000,61.459000,8.946000,35.352000,0.461000,0.000000,49.761000,65.341000,65.802000,139.455000,139.941000,192.632000,8946.000000,65802.000000,111.782,15.197
fpga,1,1,131072,1,1,hpu-native-psi64-v80,98304,13.148000,19.492000,63.054000,8.485000,37.492000,0.437000,0.000000,53.215000,65.469000,65.906000,141.704000,142.156000,198.626000,8485.000000,65906.000000,117.855,15.173
fpga,1,1,131072,1,2,hpu-native-psi64-v80,98304,12.804000,21.189000,67.601000,8.512000,35.026000,0.510000,0.000000,53.117000,64.727000,65.237000,145.161000,145.689000,201.721000,8512.000000,65237.000000,117.481,15.329
fpga,1,1,131072,1,3,hpu-native-psi64-v80,98304,15.593000,18.507000,61.136000,9.520000,50.002000,0.454000,0.000000,52.288000,78.029000,78.483000,154.792000,155.268000,210.553000,9520.000000,78483.000000,105.042,12.742
fpga,1,1,131072,1,4,hpu-native-psi64-v80,98304,15.567000,22.998000,59.335000,10.547000,48.252000,0.446000,0.000000,54.887000,81.797000,82.243000,156.724000,157.190000,215.013000,10547.000000,82243.000000,94.814,12.159
fpga,1,1,131072,1,5,hpu-native-psi64-v80,98304,21.119000,19.196000,73.925000,9.302000,55.212000,0.449000,0.000000,51.835000,83.710000,84.159000,178.793000,179.260000,234.378000,9302.000000,84159.000000,107.504,11.882
fpga,1,1,131072,1,6,hpu-native-psi64-v80,98304,16.644000,18.040000,61.785000,9.294000,50.729000,0.425000,0.000000,51.119000,78.063000,78.488000,156.532000,156.974000,211.823000,9294.000000,78488.000000,107.596,12.741
fpga,1,1,131072,1,7,hpu-native-psi64-v80,98304,13.885000,17.718000,70.234000,9.170000,58.281000,0.256000,0.000000,52.480000,85.169000,85.425000,169.320000,169.589000,225.228000,9170.000000,85425.000000,109.051,11.706
fpga,1,1,131072,1,8,hpu-native-psi64-v80,98304,16.548000,23.841000,65.433000,9.448000,58.002000,0.473000,0.000000,54.215000,91.291000,91.764000,173.340000,173.832000,231.380000,9448.000000,91764.000000,105.843,10.898
fpga,1,1,131072,1,9,hpu-native-psi64-v80,98304,15.649000,16.534000,60.494000,8.776000,49.020000,0.399000,0.000000,56.276000,74.330000,74.729000,150.497000,150.913000,210.319000,8776.000000,74729.000000,113.947,13.382
fpga,1,1,131072,1,10,hpu-native-psi64-v80,98304,12.818000,23.101000,56.910000,10.798000,54.131000,0.445000,0.000000,50.515000,88.030000,88.475000,157.784000,158.249000,211.704000,10798.000000,88475.000000,92.610,11.303
fpga,1,1,131072,1,11,hpu-native-psi64-v80,98304,12.765000,18.974000,66.116000,8.740000,50.269000,0.435000,0.000000,48.720000,77.983000,78.418000,156.888000,157.343000,209.322000,8740.000000,78418.000000,114.416,12.752
fpga,1,1,131072,1,12,hpu-native-psi64-v80,98304,12.951000,17.086000,67.875000,8.623000,51.802000,0.443000,0.000000,50.604000,77.511000,77.954000,158.362000,158.827000,212.817000,8623.000000,77954.000000,115.969,12.828
fpga,1,1,131072,1,13,hpu-native-psi64-v80,98304,17.075000,19.386000,63.335000,9.350000,52.550000,0.434000,0.001000,52.394000,81.286000,81.720000,161.727000,162.180000,217.524000,9350.000000,81720.000000,106.952,12.237
fpga,1,1,131072,1,14,hpu-native-psi64-v80,98304,14.079000,21.379000,70.546000,10.422000,52.712000,0.461000,0.000000,44.827000,84.513000,84.974000,169.166000,169.644000,217.485000,10422.000000,84974.000000,95.951,11.768
fpga,1,1,131072,1,15,hpu-native-psi64-v80,98304,14.137000,20.004000,65.940000,13.673000,50.286000,0.533000,0.000000,48.949000,83.963000,84.496000,164.069000,164.624000,216.630000,13673.000000,84496.000000,73.137,11.835
fpga,1,1,131072,1,16,hpu-native-psi64-v80,98304,12.684000,19.259000,61.679000,8.715000,43.722000,0.377000,0.000000,56.198000,71.696000,72.073000,146.093000,146.489000,205.753000,8715.000000,72073.000000,114.745,13.875
fpga,1,1,131072,1,17,hpu-native-psi64-v80,98304,13.134000,12.563000,71.841000,6.324000,27.545000,0.426000,0.000000,47.259000,46.432000,46.858000,131.429000,131.867000,182.171000,6324.000000,46858.000000,158.128,21.341
fpga,1,1,131072,1,18,hpu-native-psi64-v80,98304,16.459000,17.203000,70.668000,10.617000,56.797000,0.444000,0.000000,60.864000,84.617000,85.061000,171.780000,172.242000,235.641000,10617.000000,85061.000000,94.189,11.756
fpga,1,1,131072,1,19,hpu-native-psi64-v80,98304,20.112000,22.760000,62.513000,9.434000,47.911000,0.448000,0.000000,47.390000,80.105000,80.553000,162.760000,163.226000,213.362000,9434.000000,80553.000000,106.000,12.414
fpga,1,1,131072,1,20,hpu-native-psi64-v80,98304,12.763000,18.210000,58.454000,9.208000,51.212000,0.440000,0.001000,45.108000,78.630000,79.070000,149.871000,150.329000,198.642000,9208.000000,79070.000000,108.601,12.647
fpga,1,1,131072,1,21,hpu-native-psi64-v80,98304,14.659000,18.487000,70.946000,9.462000,48.131000,0.428000,0.000000,45.926000,76.080000,76.508000,161.709000,162.154000,211.158000,9462.000000,76508.000000,105.686,13.071
fpga,1,1,131072,1,22,hpu-native-psi64-v80,98304,17.369000,18.968000,71.452000,9.479000,47.781000,0.405000,0.000000,50.788000,76.228000,76.633000,165.074000,165.496000,219.495000,9479.000000,76633.000000,105.496,13.049
fpga,1,1,131072,1,23,hpu-native-psi64-v80,98304,13.673000,18.282000,61.297000,11.607000,45.619000,0.285000,0.000000,52.697000,75.508000,75.793000,150.500000,150.801000,206.537000,11607.000000,75793.000000,86.155,13.194
fpga,1,1,131072,1,24,hpu-native-psi64-v80,98304,12.864000,18.325000,68.791000,9.375000,47.327000,0.451000,0.000000,48.854000,75.027000,75.478000,156.706000,157.175000,209.111000,9375.000000,75478.000000,106.667,13.249
fpga,1,1,131072,1,25,hpu-native-psi64-v80,98304,12.577000,18.030000,68.825000,9.275000,51.911000,0.299000,0.001000,46.540000,79.216000,79.515000,160.639000,160.952000,210.406000,9275.000000,79515.000000,107.817,12.576
fpga,1,1,131072,1,26,hpu-native-psi64-v80,98304,12.964000,21.188000,64.293000,11.342000,50.660000,0.396000,0.000000,48.506000,83.190000,83.586000,160.478000,160.894000,212.414000,11342.000000,83586.000000,88.168,11.964
fpga,1,1,131072,1,27,hpu-native-psi64-v80,98304,17.135000,17.893000,65.780000,9.341000,50.307000,0.448000,0.000000,46.284000,77.541000,77.989000,160.499000,160.968000,210.021000,9341.000000,77989.000000,107.055,12.822
